Date,Gilt1yspot,Gilt1y,Gilt2y,Gilt3y,Gilt4y,Gilt5y,Gilt5y5y
19980114,0.10452313100000055,0.17386434899999959,0.15355219400000042,0.10434759899999957,0.057163645999999346,0.018221006000000095,-0.026041657000000384
19980211,0.0024297460000006765,0.03312919800000014,0.030678825000000742,-0.014357213000000257,-0.0573081610000008,-0.09104577999999997,-0.12438558000000022
19980311,0.015732897000000357,0.04441171600000082,0.0016115169999997292,-0.012771191999999765,-0.01583565900000039,-0.01319262099999996,-0.007168555999998993
19980415,-0.0025714900000002316,0.011670640000000176,0.01744577699999894,0.010752815000000027,0.0038465530000015846,0.0007643729999999849,0.006593892999999795
19980513,0.021535530000000414,0.01653387700000053,0.024665601000000592,0.020640042000000136,0.012463372999999223,0.005374951000000294,-0.0010944510000001628
19980610,-0.017118464000000166,-0.027348535000000673,-0.047039015000000184,-0.06101586100000045,-0.07558589599999976,-0.09010681900000073,-0.1116655910000004
19980715,0.09688399400000058,0.0947847460000002,0.09072615499999959,0.08853945999999979,0.07781539199999887,0.0641092280000004,0.030317579000000983
19980812,-0.04288783400000096,-0.06121438199999929,-0.06217334799999996,-0.05546339800000055,-0.035714932999999505,-0.0108317109999998,0.02764283600000006
19980916,0.03744910199999918,0.05408673300000011,0.005010748999999315,-0.014555289000000471,-0.02488330300000019,-0.03201188599999938,-0.0435033709999999
19981014,0.0017610289999989703,-0.012414412000000041,-0.03823843999999976,-0.04886444000000001,-0.06589614399999988,-0.08706132300000036,-0.12692878899999993
19981021,-0.027190257000000884,-0.018551597000000086,-0.01132856599999954,-0.009972229999999804,-0.00029274099999998526,0.012515741999999719,0.02960531900000074
19981118,-0.0761983500000003,-0.08710272700000043,-0.09018091499999947,-0.0953995110000001,-0.10436643999999973,-0.11356516899999924,-0.10084263499999935
19981223,-0.10233507500000005,-0.09657764199999974,-0.08276954399999958,-0.08019361899999922,-0.0799512189999998,-0.08005736399999996,-0.07137193000000064
19990120,-0.007610656999999854,-0.014603662000000739,-0.023854210000000542,-0.03335344100000004,-0.0381942659999992,-0.03937197299999973,-0.031491522000000494
19990217,0.013786660000000062,0.0205063489999997,0.04693488199999951,0.056869852000000165,0.0386885699999997,0.009847675999999694,-0.04896064999999972
19990317,-0.02720582600000032,-0.05495395799999958,-0.08272107099999992,-0.08462122300000008,-0.07637196899999932,-0.06486643299999972,-0.04584052199999977
19990421,0.008255508999999606,0.029916239999999483,0.014696695999999676,0.010924722999999581,0.013917450000000109,0.017571728000000064,0.006218947999999891
19990519,-0.010992964000000605,-0.03297122899999927,-0.0033840509999993884,0.014837728000000716,0.02803855600000027,0.03706916199999988,0.03442510200000015
19990623,-0.008640315000000065,-0.005629630999999691,0.04213312999999985,0.051138552999999476,0.045166495999999334,0.038345757999999286,0.034745065000000075
19990721,0.03918513800000056,0.061109538000000185,0.020959706000001077,-0.03291734000000002,-0.07717574100000046,-0.10584899699999983,-0.08056608399999998
19990818,-0.05231979300000056,-0.07640257499999947,-0.08236314300000114,-0.11141910100000096,-0.12908255700000026,-0.12856749700000059,-0.0748883100000004
19990922,0.0045115039999998885,-0.0031647680000013168,0.020189877000000855,0.04833103400000116,0.06538781500000024,0.0731733349999999,0.06996130399999956
19991020,0.039522939000001145,0.074032332999999,0.06908058899999947,0.06053814199999952,0.04731839999999998,0.0318180150000007,0.007657333000000044
19991117,0.07621018699999915,0.12101208700000043,0.11391900400000043,0.09380985499999994,0.0786662679999992,0.07054092799999978,0.061773323999999796
19991222,0.02029212999999963,0.07931854099999924,0.09270299500000068,0.09378396900000041,0.09403527899999986,0.09415461800000013,0.09157371999999953
20000223,0.02397806600000063,0.0293855340000011,0.01546500999999978,0.008417854000000169,0.008695446000000828,0.013372949999999939,0.030568446000000193
20000322,-0.0022833009999994047,0.022320841999999175,0.03482126300000132,0.05411179499999985,0.08029139900000004,0.10563250699999926,0.13248081299999992
20000419,0.019041274000000108,0.017045674000000233,0.015137972000000666,0.014340887000000357,0.012507237999999532,0.00975385899999992,-0.00032528100000028815
20000621,0.05307764500000012,0.07631790599999899,0.07061013399999982,0.08426779700000075,0.10412203300000034,0.12144714099999909,0.1251928659999999
20000719,0.010379925999999706,0.018193376999999344,-0.005129653000000012,-0.025440316000000962,-0.040778409000000515,-0.05242749599999996,-0.0648264360000006
20000816,0.030683245000000525,0.03873180700000045,0.011165471999999177,-0.004482169999999286,-0.015167460000000688,-0.021326200999999934,-0.01114472799999966
20000920,0.003868428999999729,0.009094921999999173,0.013210416000000613,0.011310280000000006,0.008039478999999794,0.004815730999998991,0.0010705040000003052
20001018,-0.04173080500000026,-0.04316952300000043,-0.02155251399999969,-0.011715946999999893,-0.01011125700000104,-0.010041792000000882,-0.001516521000000104
20001122,-0.026211969000000224,-0.06693527100000018,-0.11013722099999956,-0.11564909000000068,-0.1126323539999996,-0.10905855800000008,-0.10182472199999992
20001220,-0.055868751000000216,-0.1881583149999999,-0.11971993800000025,-0.05581746500000051,-0.007684381000000684,0.0282188510000001,0.059972263999999775
20010221,-0.01312865700000021,-0.02115504900000076,-0.00892448600000062,0.01286741499999966,0.0280240169999999,0.03677159999999979,0.037190808000000075
20010321,-0.009655783999999556,-0.020965355999999602,-0.025970205000000135,-0.016926513000000476,-0.0015676419999994806,0.014105788000000175,0.03361471899999913
20010418,0.006595941999999688,0.011086498000000056,0.04360089700000014,0.0583788760000008,0.07333674499999976,0.08946729300000023,0.10892317500000015
